timestamp,latitude,longitude,satelites,velocity,hdop,temperature,ph,turbidity,tds,depth,voltage,current
1763810167,,,,,,,,,,,,4.0
1763810169,,,,,,1.187000036239624,18.25882339477539,,53.91304397583008,,13.270000457763672,4.0
1763810171,,,,,,1.25,18.247058868408203,,53.91304397583008,374.5079040527344,13.529999732971191,4.079999923706055
1763810173,,,,,,1.187000036239624,18.25882339477539,,53.91304397583008,306.7374267578125,13.59000015258789,4.159999847412109
1763810175,51.191898345947266,17.191789627075195,37.0,0.02,0.46,1.25,18.25882339477539,,53.91304397583008,305.9148864746094,13.050000190734863,4.159999847412109
1763810177,51.191898345947266,17.19179344177246,34.0,0.01,0.48,1.25,18.25882339477539,,53.91304397583008,306.70166015625,13.850000381469727,4.079999923706055
1763810179,51.19190216064453,17.191795349121094,31.0,0.01,0.5,1.187000036239624,18.25882339477539,,53.91304397583008,306.02215576171875,13.220000267028809,4.159999847412109
1763810181,51.191898345947266,17.191797256469727,36.0,0.01,0.46,1.187000036239624,18.247058868408203,,53.91304397583008,305.8612365722656,13.329999923706055,4.159999847412109
1763810183,51.191898345947266,17.191797256469727,36.0,0.01,0.46,1.187000036239624,18.25882339477539,,53.91304397583008,305.8791198730469,13.460000038146973,4.159999847412109
1763810185,51.19190216064453,17.19179916381836,31.0,0.02,0.5,1.25,18.25882339477539,,53.91304397583008,306.8089599609375,13.319999694824219,4.159999847412109
1763810187,51.19190216064453,17.19179916381836,35.0,0.02,0.48,1.187000036239624,18.25882339477539,,53.91304397583008,305.8970031738281,13.720000267028809,4.079999923706055
1763810189,51.1919059753418,17.191801071166992,30.0,0.01,0.55,1.25,18.25882339477539,,53.91304397583008,306.8447265625,13.850000381469727,4.159999847412109
1763810191,51.1919059753418,17.191801071166992,36.0,0.01,0.46,1.187000036239624,18.25882339477539,,53.91304397583008,305.8791198730469,13.699999809265137,4.159999847412109
