timestamp,latitude,longitude,satelites,velocity,hdop,temperature,ph,turbidity,tds,voltage
1752759980,,,,,,,,,,
1752759982,,,,,,,,,,
1752759984,,,,,,,,,,
1752759986,51.129051208496094,17.04451560974121,12.0,0.38999998569488525,1.059999942779541,,,,,
1752759988,51.129051208496094,17.044513702392578,13.0,0.1599999964237213,1.0499999523162842,,,,,
1752759990,51.129051208496094,17.044511795043945,14.0,0.23999999463558197,1.0099999904632568,,,,,
1752759992,51.129051208496094,17.044511795043945,13.0,0.27000001072883606,1.0499999523162842,,,,,
1752759994,51.129051208496094,17.044509887695312,13.0,0.25,1.0499999523162842,,,,,
1752759996,51.12905502319336,17.044509887695312,13.0,0.23000000417232513,1.0499999523162842,,,,,
1752759998,51.129051208496094,17.04450798034668,13.0,0.1599999964237213,1.0499999523162842,,,,,
1752760000,51.12905502319336,17.044509887695312,14.0,0.20999999344348907,1.0099999904632568,,,,,
1752760002,51.129051208496094,17.04450798034668,13.0,0.15000000596046448,1.0499999523162842,,,,,
